DCE_ID	Hits
>323-S-l	37
>324-S-l	4
>325-A-l	1
>325-S-l	3
>326-S-l	1
>328-S-l	1
>329-A-l	21
>329-S-l	37
>330-A-l	1
>331-A-l	2
>332-A-l	2
>334-A-l	5
>334-S-l	5
>336-A-l	1
>336-S-l	17
>337-A-l	2
>337-S-l	1
>338-A-l	1
>338-S-l	2
>339-A-l	6
>339-S-l	28
>340-A-r	1
>340-S-l	1
>340-S-r	2
>343-S-l	30
>345-S-l	1
>347-A-l	1
>347-S-l	12
>349-A-l	1
>352-S-r	5
>354-S-l	1
>355-S-l	26
>356-A-l	5
>356-S-l	26
>357-A-r	1
>357-S-r	53
>358-A-r	5
>358-S-r	12
>359-A-r	5
>359-S-r	2
>360-A-l	1
>360-S-l	1
>361-A-l	1
>361-S-l	1
>362-A-l	3
>362-S-l	3
>363-S-l	1
>366-A-l	7
>366-S-l	29
>369-A-l	1
>369-S-l	1
>370-A-r	1
>370-S-r	1
>372-S-l	3
>373-S-l	7
>374-A-l	1
>376-A-l	1
>376-S-l	1
>377-A-l	8
>377-S-l	8
>378-S-l	1
>379-S-l	22
>381-A-l	9
>381-S-l	12
>382-S-l	6
>383-S-r	1
>384-S-l	1
>386-A-l	2
>387-S-l	38
>388-A-l	1
>388-S-l	3
>391-A-l	7
>391-S-l	98
>394-A-l	6
>394-S-l	23
>395-S-l	1
>396-S-l	1
>397-S-l	12
>398-A-l	1
>398-S-l	1
>398-S-r	1
>399-A-l	1
>399-S-l	1
>400-S-l	2
>401-S-l	4
>403-S-r	33
>404-S-l	2
>406-A-l	3
>406-S-l	16
>408-A-l	1
>409-A-l	5
>409-S-l	1
>410-A-l	1
>410-A-r	1
>410-S-l	1
>412-A-l	1
>413-S-l	27
>414-A-r	1
>414-S-l	1
>414-S-r	1
>415-A-l	1
>415-S-l	6
>416-A-l	1
>416-S-l	1
>417-S-l	1
>418-A-l	2
>420-S-r	7
>421-S-r	1
>422-A-r	1
>422-S-r	1
>423-S-l	9
>424-S-l	6
>427-S-l	1
>428-A-l	1
>428-S-l	1
>429-A-l	2
>429-S-l	1
>430-A-l	1
>430-S-l	16
>431-A-r	1
>431-S-r	2
>432-S-l	2
>433-A-l	1
>434-A-r	3
>435-S-l	1
>437-S-l	10
>438-S-l	2
>440-S-l	2
>441-S-l	2
>442-S-l	1
>444-S-l	1
>445-S-l	1
>446-A-l	2
>448-A-r	67
>448-S-r	1
>451-A-l	1
>451-S-l	1
>453-S-l	1
>455-A-l	1
>455-S-l	1
>456-S-r	12
>459-A-r	3
>459-S-r	1
>460-S-l	1
>461-A-l	1
>462-A-l	1
>462-S-l	3
>465-A-l	1
>465-S-l	1
>466-S-r	9
>467-A-l	1
>467-S-l	1
>468-A-r	1
>468-S-r	25
>470-A-r	20
>470-S-r	3
>473-A-l	1
>473-S-l	3
>474-S-l	4
>475-S-l	39
>477-S-r	1
>478-S-r	8
>479-S-l	1
>480-S-l	1
>481-A-r	8
>482-A-l	15
>482-S-l	6
>483-A-l	2
>484-A-l	1
>484-S-l	1
>485-S-l	1
>486-S-r	1
>487-S-l	1
>488-A-l	1
>488-S-l	1
>490-A-l	2
>490-S-l	6
>491-S-l	5
>492-A-r	2
>492-S-r	10
>495-S-l	3
>496-A-l	4
>496-S-l	23
>497-A-l	14
>498-A-l	2
>498-S-l	1
>499-A-r	1
>499-S-r	1
>500-A-r	1
>500-S-r	1
>501-A-l	2
>501-S-l	48
>502-A-r	1
>504-S-l	2
>505-A-l	1
>505-S-l	2
>506-S-l	1
>507-A-l	26
>508-A-l	4
>508-S-l	1
>509-S-l	3
>510-S-r	3
>511-S-r	1
>512-A-l	1
>512-S-l	1
>513-A-l	1
>513-S-l	1
>514-A-l	1
>514-S-l	1
>516-A-l	1
>516-S-l	1
>517-S-l	1
>518-S-l	1
>519-S-l	1
>520-A-l	25
>521-S-l	1
>523-A-l	14
>524-A-l	1
>524-S-l	1
>526-A-l	1
>526-S-l	4
>528-A-l	1
>528-S-l	1
>529-S-l	1
>530-S-r	1
>531-A-l	2
>531-S-l	22
>532-S-l	1
>533-A-r	1
>533-S-r	1
>534-A-l	1
>534-S-l	1
>535-A-r	1
>536-S-l	1
>537-S-l	1
>538-S-l	3
>539-S-l	1
>541-A-l	1
>543-A-l	1
>543-S-l	1
>544-A-l	10
>544-S-l	5
>545-S-l	6
>546-S-l	28
>548-A-l	1
>549-A-l	2
>549-A-r	6
>549-S-l	21
>549-S-r	3
>551-A-l	1
>551-S-l	1
>552-A-l	10
>552-S-l	52
>555-S-l	31
>556-S-l	1
>557-S-l	1
>558-A-l	14
>558-S-l	25
>559-S-l	14
>560-A-l	1
>561-S-l	7
>564-A-l	3
>564-S-l	1
>565-S-l	1
>566-A-l	2
>566-S-l	34
>568-A-r	1
>568-S-r	14
>569-A-l	1
>569-S-l	10
>570-A-l	38
>570-S-l	8
>578-A-l	1
>578-S-l	1
>579-A-l	1
>579-S-l	1
>581-A-l	5
>582-A-l	2
>582-S-l	1
>583-A-l	1
>583-S-l	1
>585-S-l	1
>586-A-l	4
>586-S-l	25
>586-S-r	10
>587-A-l	1
>587-S-l	1
>588-A-l	1
>588-S-l	1
>589-A-l	2
>589-S-l	14
>590-S-l	1
>591-S-l	1
>594-A-l	9
>595-S-l	1
>596-S-l	1
>597-A-l	1
>599-S-l	1
>601-A-l	1
>601-S-l	1
>603-S-r	1
>604-S-r	9
>605-S-l	9
>606-A-l	17
>607-A-l	8
>608-S-l	1
>613-A-l	1
>617-A-r	2
>618-A-r	1
>619-A-l	1
>619-S-l	20
>620-S-l	2
>622-S-l	19
>625-A-r	37
>625-S-r	2
>626-S-l	12
>627-A-l	35
>627-A-r	39
>627-S-l	1
>627-S-r	1
>628-A-l	1
>628-S-l	4
>629-A-l	2
>629-S-l	9
>632-A-l	1
>632-S-l	11
>634-S-l	1
>635-A-l	2
>635-S-l	1
>636-A-l	1
>636-S-l	1
>637-S-l	1
>638-A-r	1
>639-A-l	1
>639-S-l	1
>640-S-l	1
>641-A-l	1
>641-S-l	1
>642-S-l	2
>642-S-r	1
>643-A-l	1
>643-S-l	24
>644-A-r	12
>646-S-l	1
>648-A-r	2
>648-S-r	2
>650-A-l	3
>650-S-l	1
>651-A-l	6
>651-S-l	1
>652-A-l	3
>655-A-r	1
>655-S-r	1
>657-S-l	32
>658-A-l	3
>658-S-l	2
>660-A-l	1
>660-S-l	1
>661-S-r	1
>662-S-r	1
>664-A-l	12
>665-A-l	3
>665-S-l	4
>666-A-l	1
>666-S-l	1
>667-A-l	3
>667-S-l	4
>668-S-l	1
>670-A-l	4
>670-A-r	3
>670-S-r	13
>671-A-l	1
>671-S-l	1
>672-A-l	1
>673-A-l	7
>674-A-r	2
>674-S-r	1
>675-S-l	23
>676-A-l	1
>676-S-l	3
>677-S-r	3
>679-S-l	3
>681-A-l	2
>681-S-l	1
>682-S-l	1
>683-A-l	3
>684-A-l	1
>684-S-l	7
>685-S-l	1
>686-A-l	8
>686-S-l	1
>687-S-l	5
>688-A-l	2
>688-S-l	1
>689-A-l	1
>689-S-l	1
>690-A-l	1
>690-S-l	1
>691-S-l	4
>692-A-l	1
>692-S-l	16
>693-A-l	1
>693-S-l	1
>694-S-l	10
>695-S-l	1
>696-A-r	2
>699-S-l	1
>702-A-l	2
>702-S-l	27
>703-A-r	11
>703-S-r	1
>704-S-r	21
>705-A-l	2
>705-S-l	1
>706-A-r	3
>707-S-l	1
>708-S-l	1
>713-A-l	1
>713-S-l	1
>714-A-l	14
>714-S-l	1
>715-S-l	1
>716-S-l	1
>717-S-l	2
>718-A-l	1
>718-S-l	1
>719-A-l	4
